Id,Ticket,Fare,Pclass_id
1,A/5 21171,7.25,3
2,PC 17599,71.2833,1
3,STON/O2. 3101282,7.925,3
4,113803,53.1,1
5,373450,8.05,3
6,330877,8.4583,3
7,17463,51.8625,1
8,349909,21.075,3
9,347742,11.1333,3
10,237736,30.0708,2
11,PP 9549,16.7,3
12,113783,26.55,1
13,A/5. 2151,8.05,3
14,347082,31.275,3
15,350406,7.8542,3
16,248706,16.0,2
17,382652,29.125,3
18,244373,13.0,2
19,345763,18.0,3
20,2649,7.225,3
21,239865,26.0,2
22,248698,13.0,2
23,330923,8.0292,3
24,113788,35.5,1
25,347077,31.3875,3
26,2631,7.225,3
27,19950,263.0,1
28,330959,7.8792,3
29,349216,7.8958,3
30,PC 17601,27.7208,1
31,PC 17569,146.5208,1
32,335677,7.75,3
33,C.A. 24579,10.5,2
34,PC 17604,82.1708,1
35,113789,52.0,1
36,2677,7.2292,3
37,A./5. 2152,8.05,3
38,345764,18.0,3
39,2651,11.2417,3
40,7546,9.475,3
41,11668,21.0,2
42,349253,7.8958,3
43,SC/Paris 2123,41.5792,2
44,330958,7.8792,3
45,S.C./A.4. 23567,8.05,3
46,370371,15.5,3
47,14311,7.75,3
48,2662,21.6792,3
49,349237,17.8,3
50,3101295,39.6875,3
51,A/4. 39886,7.8,3
52,PC 17572,76.7292,1
53,2926,26.0,2
54,113509,61.9792,1
55,19947,35.5,1
56,C.A. 31026,10.5,2
57,2697,7.2292,3
58,C.A. 34651,27.75,2
59,CA 2144,46.9,3
60,2669,7.2292,3
61,113572,80.0,1
62,36973,83.475,1
63,347088,27.9,3
64,PC 17605,27.7208,1
65,2661,15.2458,3
66,C.A. 29395,10.5,2
67,S.P. 3464,8.1583,3
68,3101281,7.925,3
69,315151,8.6625,3
70,C.A. 33111,10.5,2
71,S.O.C. 14879,73.5,2
72,2680,14.4542,3
73,1601,56.4958,3
74,348123,7.65,3
75,349208,7.8958,3
76,374746,8.05,3
77,248738,29.0,2
78,364516,12.475,3
79,345767,9.0,3
80,345779,9.5,3
81,330932,7.7875,3
82,113059,47.1,1
83,SO/C 14885,10.5,2
84,3101278,15.85,3
85,W./C. 6608,34.375,3
86,SOTON/OQ 392086,8.05,3
87,343275,8.05,3
88,343276,8.05,3
89,347466,7.8542,3
90,W.E.P. 5734,61.175,1
91,C.A. 2315,20.575,3
92,364500,7.25,3
93,374910,8.05,3
94,PC 17754,34.6542,1
95,PC 17759,63.3583,1
96,231919,23.0,2
97,244367,26.0,2
98,349245,7.8958,3
99,349215,7.8958,3
100,35281,77.2875,1
101,7540,8.6542,3
102,3101276,7.925,3
103,349207,7.8958,3
104,343120,7.65,3
105,312991,7.775,3
106,349249,7.8958,3
107,371110,24.15,3
108,110465,52.0,1
109,2665,14.4542,3
110,324669,8.05,3
111,4136,9.825,3
112,2627,14.4583,3
113,STON/O 2. 3101294,7.925,3
114,370369,7.75,3
115,PC 17558,247.5208,1
116,A4. 54510,8.05,3
117,27267,13.0,2
118,370372,7.75,3
119,C 17369,7.1417,3
120,2668,22.3583,3
121,347061,6.975,3
122,349241,7.8958,3
123,SOTON/O.Q. 3101307,7.05,3
124,A/5. 3337,14.5,3
125,228414,26.0,2
126,C.A. 29178,13.0,2
127,SC/PARIS 2133,15.0458,2
128,11752,26.2833,1
129,7534,9.2167,3
130,PC 17593,79.2,1
131,2678,15.2458,3
132,347081,7.75,3
133,STON/O2. 3101279,15.85,3
134,365222,6.75,3
135,231945,11.5,2
136,C.A. 33112,36.75,2
137,350043,7.7958,3
138,230080,26.0,2
139,244310,13.0,2
140,S.O.P. 1166,12.525,2
141,113776,66.6,1
142,A.5. 11206,8.05,3
